ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Is_parent,Children,Day,Month,Quarter,Year,Monetary,Frequency,Tenure,T,Actual_Avg_Monetary,Actual_Purchases,Actual_cltv,CLTV_label,Cluster,Customer_Segment,Predicted_Avg_Monetary,Predicted_Purchases,Predicted_cltv,p_alive,p_not_alive
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,58,0,0,4,9,3,2012,1617,22,28,663,73.5,34.137931034482754,0.0,Non-profitable,0,Moderate-Value,73.80445710007183,2.5165116792826973e-27,0.0,0.0,1.0
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,61,1,2,8,3,1,2014,27,4,9,113,6.75,9.473684210526317,0.01,Profitable,2,Low-Value,7.69062538454557,0.0217909960610296,0.01,0.012,0.988
4141,1965,Graduation,Partner,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,50,0,0,21,8,3,2013,776,20,16,312,38.8,69.23076923076924,0.0,Non-profitable,2,Low-Value,39.05776250622284,8.97408219301234e-23,0.0,0.0,1.0
6182,1984,Graduation,Partner,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,31,1,1,10,2,1,2014,53,6,10,139,8.833333333333334,20.76923076923077,0.0,Non-profitable,2,Low-Value,9.473611471956728,6.844744248168434e-05,0.0,0.0,1.0
5324,1981,PhD,Partner,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,34,1,1,19,1,1,2014,422,14,11,161,30.142857142857142,13.404255319148936,0.01,Profitable,2,Low-Value,30.48389696117913,0.0047061634638264,0.01,0.0011,0.9989
7446,1967,PostGraduation,Partner,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,48,1,1,9,9,3,2013,716,20,15,293,35.8,112.5,0.0,Non-profitable,2,Low-Value,36.05108745901477,4.032242208916681e-26,0.0,0.0,1.0
965,1971,Graduation,Single,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,44,1,1,13,11,4,2012,590,17,25,593,34.705882352941174,45.0,0.0,Non-profitable,2,Low-Value,34.99853023759443,6.8461476573735345e-25,0.0,0.0,1.0
6177,1985,PhD,Partner,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,30,1,1,8,5,2,2013,169,8,20,417,21.125,22.5,0.0,Non-profitable,2,Low-Value,21.672917068871943,5.893656804911456e-12,0.0,0.0,1.0
4855,1974,PhD,Partner,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,41,1,1,6,6,2,2013,46,5,19,388,9.2,23.684210526315788,0.0,Non-profitable,2,Low-Value,9.97276641404062,9.738097169145946e-10,0.0,0.0,1.0
5899,1950,PhD,Partner,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,65,1,2,13,3,1,2014,49,1,9,108,49.0,1.3235294117647058,0.7,Profitable,0,Moderate-Value,54.85674915626392,0.2541000943559496,0.89,0.3922,0.6078
